Match Score,Primary Page (KEEP),Duplicate Page (REMOVE / 301 REDIRECT),Recommended Action
100.0%,https://www.brahmakumaris.com/category/soul-sustenance/,https://www.brahmakumaris.com/category/soul-sustenance/ss-hindi/,Setup 301 Redirect to Primary Page and remove duplicate from sitemap
100.0%,https://www.brahmakumaris.com/soul-sustenance/,https://www.brahmakumaris.com/soul-sustenance/ss-hindi/12th-feb-ssh/,Setup 301 Redirect to Primary Page and remove duplicate from sitemap
100.0%,https://www.brahmakumaris.com/soul-sustenance/,https://www.brahmakumaris.com/soul-sustenance/be-easy-not-busy/,Setup 301 Redirect to Primary Page and remove duplicate from sitemap
100.0%,https://www.brahmakumaris.com/soul-sustenance/,https://www.brahmakumaris.com/soul-sustenance/avoiding-mood-swings/,Setup 301 Redirect to Primary Page and remove duplicate from sitemap
100.0%,https://www.brahmakumaris.com/soul-sustenance/,https://www.brahmakumaris.com/soul-sustenance/__trashed-7/,Setup 301 Redirect to Primary Page and remove duplicate from sitemap
100.0%,https://www.brahmakumaris.com/soul-sustenance/,https://www.brahmakumaris.com/soul-sustenance/forgive-and-forget/,Setup 301 Redirect to Primary Page and remove duplicate from sitemap
100.0%,https://www.brahmakumaris.com/soul-sustenance/,https://www.brahmakumaris.com/soul-sustenance/being-before-doing/,Setup 301 Redirect to Primary Page and remove duplicate from sitemap
100.0%,https://www.brahmakumaris.com/soul-sustenance/,https://www.brahmakumaris.com/soul-sustenance/5-gifts-to-god/,Setup 301 Redirect to Primary Page and remove duplicate from sitemap
100.0%,https://www.brahmakumaris.com/soul-sustenance/,https://www.brahmakumaris.com/soul-sustenance/can-love-hurt-me/,Setup 301 Redirect to Primary Page and remove duplicate from sitemap
100.0%,https://www.brahmakumaris.com/soul-sustenance/,https://www.brahmakumaris.com/soul-sustenance/letting-go-easily/,Setup 301 Redirect to Primary Page and remove duplicate from sitemap
100.0%,https://www.brahmakumaris.com/soul-sustenance/,https://www.brahmakumaris.com/soul-sustenance/the-time-is-now/,Setup 301 Redirect to Primary Page and remove duplicate from sitemap
100.0%,https://www.brahmakumaris.com/soul-sustenance/,https://www.brahmakumaris.com/soul-sustenance/pause-choose-respond/,Setup 301 Redirect to Primary Page and remove duplicate from sitemap
100.0%,https://www.brahmakumaris.com/soul-sustenance/,https://www.brahmakumaris.com/soul-sustenance/let-go-of-ego/,Setup 301 Redirect to Primary Page and remove duplicate from sitemap
100.0%,https://www.brahmakumaris.com/soul-sustenance/,https://www.brahmakumaris.com/soul-sustenance/how-to-bless-yourself/,Setup 301 Redirect to Primary Page and remove duplicate from sitemap
100.0%,https://www.brahmakumaris.com/soul-sustenance/25th-may-soul-sustenance/,https://www.brahmakumaris.com/soul-sustenance/18th-march-soul-sustenance/,Setup 301 Redirect to Primary Page and remove duplicate from sitemap
100.0%,https://www.brahmakumaris.com/soul-sustenance/let-go-of-ego/,https://www.brahmakumaris.com/soul-sustenance/learning-from-the-past/,Setup 301 Redirect to Primary Page and remove duplicate from sitemap
100.0%,https://www.brahmakumaris.com/soul-sustenance/pause-choose-respond/,https://www.brahmakumaris.com/soul-sustenance/learning-from-the-past/,Setup 301 Redirect to Primary Page and remove duplicate from sitemap
100.0%,https://www.brahmakumaris.com/soul-sustenance/the-time-is-now/,https://www.brahmakumaris.com/soul-sustenance/learning-from-the-past/,Setup 301 Redirect to Primary Page and remove duplicate from sitemap
100.0%,https://www.brahmakumaris.com/soul-sustenance/letting-go-easily/,https://www.brahmakumaris.com/soul-sustenance/learning-from-the-past/,Setup 301 Redirect to Primary Page and remove duplicate from sitemap
100.0%,https://www.brahmakumaris.com/soul-sustenance/can-love-hurt-me/,https://www.brahmakumaris.com/soul-sustenance/learning-from-the-past/,Setup 301 Redirect to Primary Page and remove duplicate from sitemap
100.0%,https://www.brahmakumaris.com/soul-sustenance/5-gifts-to-god/,https://www.brahmakumaris.com/soul-sustenance/learning-from-the-past/,Setup 301 Redirect to Primary Page and remove duplicate from sitemap
100.0%,https://www.brahmakumaris.com/soul-sustenance/being-before-doing/,https://www.brahmakumaris.com/soul-sustenance/learning-from-the-past/,Setup 301 Redirect to Primary Page and remove duplicate from sitemap
100.0%,https://www.brahmakumaris.com/soul-sustenance/forgive-and-forget/,https://www.brahmakumaris.com/soul-sustenance/learning-from-the-past/,Setup 301 Redirect to Primary Page and remove duplicate from sitemap
100.0%,https://www.brahmakumaris.com/soul-sustenance/__trashed-7/,https://www.brahmakumaris.com/soul-sustenance/learning-from-the-past/,Setup 301 Redirect to Primary Page and remove duplicate from sitemap
100.0%,https://www.brahmakumaris.com/soul-sustenance/avoiding-mood-swings/,https://www.brahmakumaris.com/soul-sustenance/learning-from-the-past/,Setup 301 Redirect to Primary Page and remove duplicate from sitemap
